#NET-CLARO-WIFI,-76dBm,8
#NET-CLARO-WIFI,-73dBm,10
DEPIL-CLIENTES,-77dBm,1
GVT-AC45,-76dBm,1
SSID,Strength,Primary Channel
SLA-WIFI,-82dBm,6
VIVO-4BA9,-79dBm,10
CadeOQueiroz,-84dBm,9
NET_2G81729E,-84dBm,1
Dolores Ribeiro,-75dBm,3
Copel-131,-77dBm,3
Lara67,-86dBm,4
Convidado,-76dBm,11
Convidado,-78dBm,1
T.Becker,-73dBm,3
Aulas de Ingles - 984027715,-71dBm,6
HP-Print-A0-Officejet Pro 8600,-82dBm,6
Iande,-82dBm,8
#NET-CLARO-WIFI,-80dBm,8
Nutricionista Thirza 63,-85dBm,6
Edilsonk ,-85dBm,8
CDW-1609B,-77dBm,3
Copel Cafe,-67dBm,3
Gipsycleo501,-83dBm,6
VIVO-89E3,-72dBm,1
Net-Virtua-4237,-82dBm,4
AssociadosCMP,-78dBm,1
Corporativo,-80dBm,1
Corporativo,-77dBm,1
GVT-CB3B,-80dBm,1
almodovardepelucia,-76dBm,11
#NET-CLARO-WIFI,-76dBm,11
Nane,-69dBm,6
Dreamatorium,-80dBm,7
SSID,Strength,Primary Channel
SLA-WIFI,-86dBm,6
VIVO-4BA9,-79dBm,10
CadeOQueiroz,-84dBm,9
Finco Diretoria,-85dBm,1
#NET-CLARO-WIFI,-74dBm,11
Copel-131,-77dBm,3
T.Becker,-71dBm,3
Aulas de Ingles - 984027715,-71dBm,6
Acqua Brasil Centro,-74dBm,6
#NET-CLARO-WIFI,-77dBm,6
MT03,-78dBm,5
Iande,-80dBm,8
#NET-CLARO-WIFI,-77dBm,8
Interamericano-1,-80dBm,8
Edilsonk ,-78dBm,8
CDW-1609B,-77dBm,3
AP AMINTAS - 2.4G,-80dBm,9
casa das bolachas,-80dBm,3
Copel Cafe,-76dBm,3
Gipsycleo501,-83dBm,6
homewifi_49E,-81dBm,1
#NET-CLARO-WIFI,-74dBm,1
#NET-CLARO-WIFI,-80dBm,1
AssociadosCMP,-78dBm,1
